Emotion,keywords
fear,people trapped elevator actually stairs time let wear  #quote #life
sadness,rarely desperate need talk to tonight nights sleeping im loss
sadness,sr hs class counselors died hepatitis sensitive knew shyness drew improve image missed funeral  publically grieve parents understand
surprise,good morning store today #enjoytheday
neutral,motherinlaw thing  disciplining  disciplining  complained food fed  schools sent  sun 
joy,feeling awesome 
joy,  brings  ive bought christmas presents trawl loads shops :)
surprise,forgot hair red looked mirror
fear,heard father found letter boyfriend calling talk it
fear,results seeing walk situation w/o lord faith realizing gets b4 do
fear,shot horrified look 
neutral, think  started talking  found extremely funny witty  stop laughing jokes  common  like team  music  amazingly  love chinese food  feeling going great friends 
fear,applicable myself
joy,shit pants pure 100% gravy
joy,life  leopold truly happy : hopes prayers beloved son come fruition 
fear,years ago saw film tv makes afraid
joy,class jamming paper quarter reason celebrate though studying begin right after
sadness,noooooo pongan super torpe las 9 de la mañana entendemos que nadie lo ve pero yo sí voy levantar para verlo
fear,seeing stray dog run right pass morehouse campus
anger,effect smoking reefer
fear,12 years old frequently pursued got sound thrashes
fear,“  team hot         yes sir
fear,dad  im scared 
joy,cant wait sleep tomorrow study tonight tomorrow night oh 3 essays due
anger,juvenile emotion simple minded creature express
anger,suppressing annoyance called  little sara   replied 
joy,time unpack finish homework
surprise,stopped today gas small town attendant came tell quotwe #service young #tweeters clue
surprise,cant wait   open christmas prezzie #christmas
surprise,decorating entire house christmas cheer mommy
anger,sly left feeling absolutely livid 
surprise,iemand nog surprise idee voor een vrouw
disgust,  im sorry blanket comfortable you kid #hehasfeelingstoo eats scabs
anger,left student newspaper chinese university table library disappeared came back
joy,choral concert appeared solist concert5 good forgot hard work before remained undescribable joy feeling warmth security etc
fear,  girl picture book twitter pics lol nah itor tried lol
surprise,trouble comes realise gone watching reruns living one #oh
sadness,glanced  saw auguste s anguished eyes  thought understood 
joy,world cant happiness lot longer #gofigure
anger,dipped cotton wool water dabbed livid puffy eyes 
sadness, sad afforded welcome given beirut hostages   told deeply moved audience agm month 
joy,oh early morning preachings father
joy,robbed tribulation u hav entered means provided joy #prayer communion w god
surprise,  thought id stop spend christmas holidays lake miss you
joy,good morning  jim 
fear,afraid tomorrow saw yesterday love today #less
anger,soud like neighbours hell 
joy,chris paul sum goes clippers idk ill lose
surprise,chocomousse vergt 175 ml slagroom dat heb ik dus niet huis  en je moet het met de hand kloppen niet met een mixer kansloos
sadness,time lost badminton match zambia closed badminton championships
joy,advertisements appeared novoye russkoye weekend  causing buzz excitement soviet expatriate enclave brighton beach  known little odessa 
fear,#anxiety lifted think im going pass #statistics maybe half decent got 90% #exam
joy,thrilled reunite best friend today raining find way theater dance downtown
sadness,brand  im afraid 
fear,wait till factor love show missed watching :)
joy,study day tomorrow day saturday sunday
sadness,saw summer shandy box aunts fridge liene found
fear,nearly year later im driving freeways rush hour fear conquered #confidence feels great
sadness,voice shook  face white anguish 
sadness,going loner target panache hob lob
joy,normally push heart rate pulse racing alcohol  dancing general party excitement increase noticeable normal 
anger,teachers suspicious popularity  annoyed lack interest academic work infuriated achieve high marks examinations 
anger,broke artistic work weeks changes broken permission right this
surprise,net halfuur bezig geweest bij de kraan om de lijm erg te krijgen #dinnetjes
joy,took nap hours watching christmas movies
sadness,owner  mean heartbreak loss family pet 
fear,tiens de la taurine dans les croquettes friskies chat dintérieur #miaou
anger,impossible  cheated 
sadness,afternoon nap me burning episodes dvd prepare stu hard drives reformat :(
joy,ill working 9pm6am black friday
fear,home sleeping heard robbers breaking house
sadness,  want english bulldog puppy
anger,disappointed actually consider taylor swift role eponine movie version les mis
joy,  wish saw church highlight christmas
disgust,linked poor performance exodus west 330000 east germans disgruntled communism 
sadness,expression community sympathy local children south ronaldsay sent cards devastated mothers 
sadness,3:30am guy friend gonna come window fell asleep came :(
sadness,2 amp = pleasant wonderful #memories right now #xa#recovery #survivors #stopabuse #ptsd #livefree
joy,people bring joy go people bring joy go— mark twain
joy,yaay brother said hell play badminton tomorrow :d
neutral,better prepare examination 
joy,going concert
fear,public disquiet  questions commons enquiry ordered jeffrey s whereabouts 
anger,informed flatmate that wed moved flat shed expected buy food separetely  event actually happened 5 months sharing began prior this said nothing
fear,«  afraid tomorrow seen yesterday love today #less»
anger,impression arouse anger see angry respects ~richard m nixon
joy,things  morning  swimming boating  afternoon  play basketball tennis  sit camp fire nightwe sing tell stories 
joy,arabic coffee happy
fear,feel afraid way great friend looks me little afraid directions going
surprise,met zn 4en sint gekeken nu lekker slapen en morgen surprise weggeven en ontvangen lopik
joy,morning tweeps hope guys great filled #happyness
joy,received year results year involved lot work pleased got results
sadness,got history class semestre
surprise,quotim gonna love you till stars fall sky iquot
anger,terrible  furious  impotent anger filled  making want strike  shout scream 
sadness,day spent bed life
fear,concered hights today went way climbing sooo proud beat enrique quad biking:d love girls x
anger,soldier quarrelled commander revenge detailed duty successive nights naturally checked second night found asleep sent cells
surprise,getting ready baby shower work heres hoping work following twitter hahaha surprise
joy,lady concert   sketchy people
neutral,beach
sadness,want sheila know appreciate kindness shown earlier mood despondency 
neutral,school 
anger, check weight  im getting fatter 
fear,dnt believe lies look eyes plz dnt b scared me miss deep #drake
joy,passed form exams
anger,laughed  nt feel offended 
joy,throat fire guess ill going doctor tomorrow news tonight successful night(: praise god 
neutral,yes  good informative  think people underestimate value tv education 
fear,strong #darkness strong #soul pure bright brave beam light
fear,steven  
joy,meeting old friend mine
joy,matter old am anytime leaf blower air blast closest person me brings
fear,  man proper genius
fear,thought failed examination
surprise,im mean af person im buying something guess
joy,passed dmct year spend math hour absolutely library
sadness,conscious men wnat goal have: sex important
surprise,  hoe kan je gemakkelijk een gitaar namaken van karton
joy, special day  survive year  rest smooth sailing 
surprise,aunt coming visit nice be
sadness,terribly sad 
sadness,days followed brackenbury s hasty departure  edward s despondency increased 
surprise,  ransacked meadows/brewhouse night worth opened wallet though
anger,father promised bicycle birthday birthday forgot promised me
anger,auguste shot indignant glance 
fear,losing spark haunts everyday
anger,worked classmates project anxious project partners showed concern meetings project classmates pay attention read books argued irrelevant questions meeting hours main theme discussed wasted time reach compromise classmates avoided work responsibilities value projects one
fear,fear = false evidence appearing real
joy,son returned mountaineering  healthy body soul
fear,water level rising near home #flooding
joy,way clean mess urban today
anger,kid brother broke reading spectacles
anger, mary  ’ horrible 
fear,close eyes wont wake up  #truth
neutral,’  ’ look good 
disgust,ewww got nasty ass default like cute
joy,doomed forget something shitty luck
fear,america new north korea china germany russia were military controlled selfspying censoring paranoid antagonists
sadness,toot trumpet clown enormous sorrowful eyes coming ringside seat wanted run away 
joy,lifeguard training tomorrow evening
sadness,earlier friend spreading negative rumours me
anger,newcomers feel coldshouldered local population occasions resentful tribal clannishness 
disgust,understand mood disgruntled entitled egm 
joy,seein folks overcome limitations seeing dream capacity compass
joy,birthday christmas right corner idea want
sadness,funny people follow eventually unfollow followed back
surprise,aww moms old special ed students like 6 years ago came visited her soo cute day :)
sadness, sad pathetic  m miserable 
joy,bought xmas gifts today love christmas time
anger, mean  rachel   mother asked slowly  ignoring husband s indignant look 
joy,type texts baby fine (moving amp heart beating) o theyve given rh shot safe baby fine
joy,thanksgiving: spending night emegency room
surprise,  harry potter dressed professor hates sex
sadness,mom asked cole caught deer year mom kill deer
joy,today off time work crutches tomorrow
joy,(miracle scripture 700 bc) behold virgin shall conceive amp bear son amp shall immanuel is 7:14
fear,talks going well pissed play acting playing dangerous games #flashmen #skynews #skypapers
fear,morning hard graft left 8 days sun food bevy need plane journey scary shit like
anger,saw brother attacked anything
fear,s concerned happen  
sadness,im happy   says thankful best friends
sadness,wondered felt deep sadness 
fear,good day gym bringin leavin
joy,  wear crown cuz deserve it
sadness,andare fare shopping e tornare mani vuote casa
neutral,irritable  understand program  thats 
joy,holiday seeing lanscape girona
anger,pretty sure kiss play 3 different songs theyre tgif remix pisses off gwetta agwilera
joy,minute shards glass slashed rohmer s ecstatic face 
disgust,quotwas period poop definitely smelled like period poopquot #ihatemyfamily
anger,waiter 
fear,intelligence puts man throne faith puts god there
joy,getting parttime job
anger,believe wedding present  joanne  hardly use 
anger,satisfy light leave eyes know longer draws breath
anger,hoskyns  year live  angry university 
surprise,  ik wou jou heel persoonlijk benoemen dus die nog de maak #present #wachtmer
fear,losing people love
fear,passengers looked horrified 
joy,love smell fella post
joy,bomb physics test
joy,good morning world
sadness,merciful wave closing  healing despair 
sadness,relatives death
fear,☁☾ quotfear night long but f h makes fine pillowquot ~unk
joy,eating candy cane season
sadness,considered world s beautiful women  yesterday line etched britt ekland s face told story personal anguish 
fear,giving seminar large audience
sadness,wish london trafalgar square   wish meet
sadness,yes  accept childless marriage  fight night 
disgust,smh im sad basketball look forward march madness
joy,gotta dish detergent tub dat bubble action
joy,work working homework
anger,brazil  example  miffed summit nt scheduled date inauguration new president month 
fear,son fell cot age 5 months nervous thought cause defects head
joy,excited party party tomorrow night besties miss emma rose :) xxxx
fear,saw frightened horses edge steep drop 
fear,physically assaulted sexually abused year ago feeling away intact alive produced fear
sadness,fact ashamed felt sadness
sadness,lol people people stop arashis fns mic situation ok point anyways cant find tmrs perfs
sadness,  know whats going on things folded
joy,pretty excited orgelbau dillingen chosen (unanimously) build new organ church
fear,feeding premature baby (7 months) baby chocked working childrens ward thought killed baby
fear,reason lot devotion  
disgust,holy shit weighed time college 13 pounds semester pure
sadness,brothers friends house nothing happens come home
sadness,totally  marriage 
sadness,school shootings need stop know quick fix this schools supposed safe
anger,  intrigue me plus campaign ending anticlimatic nth degree uninstall game
surprise,today: eat work paper work lab work paper finish lab eat finish paper
sadness,wish black hairit eaiser find hair weave  :(
sadness,dad campfire chocolate grahmcrackers marshmallowswhat this lt/33
joy,im sewing walk downstairs pot coffeeand find christmas decorating swing gotta love daughters
surprise,okdus de gouden verf van de action stiekem zilvergoed om te weten maar vertel het voortaan van tevoren
fear, south africa worried easily  close line  know carling jeremy guscott quickest world 
sadness,massive busted sesh fuck break up
fear,edge slipping winning
surprise,freshcame home new flat screen tv
anger,reason star cross 
surprise,car k9 searched hell find anything
sadness, sad afforded welcome given beirut hostages   told deeply moved audience agm month 
joy,course passed good marks subjects previously failed
fear,goodbye farewell long
fear,fuck nigga fear fags cause fear ganging amp destroyin slutted for #hard
joy,hate trains ran missed second saw drive away half hour wait oh
anger,lights wifi fucking way making dinner
anger,turned fran  faint annoyance crossing face 
sadness,pour moi car je nai pas beaucoup de followers :(
neutral,’ damage 
joy,wow sounds interesting  excuse bit nosy  old 
fear,turn blind eye  change whats programmed inside
sadness,realized im allergic shampoo great
sadness,prolly gonna happen morning gtlt ugh idc anymore :/
disgust,sickened learn government acquiesced ec leaders issue edinburgh summit  sake subsidiarity  directive dropped 
anger,experience emotion day angry day got pulled done happened school days spoken word class monitor written board remark callender signed parents remark resulted spanked
disgust,gag wenever hear parents quotsexciquot =/
sadness,told barbara  felt depressed 
surprise,pizza hut delivered pizza 20 minutes early best pizzas ive there
anger,oh  food bad  soup cold meat  ur  like leather 
sadness,moment realize lost person needed admit
joy,listening eternal joy division sad mournful beautiful mixed together division #ian curtis
fear,je fais stalker sur par un mec de lâge de mon père je lai refusé en ami mais il like tout ce que je fais en public
joy,anyway time settle nice plane ride lots russia reading
sadness,  mo said im allowed picked school tomorrow  didnt today ):
sadness,  love caitlyn sad miss switch die
joy,homework rest nightoh lol
joy,solid workout indoor time hw half asleep #tired
disgust,anymore care wiley body hair shit place
anger,wow rush adrenalin while
fear,  lo gak takut pembunuh yang lo takutin adalah hobinya dia kalo lagi bete
joy,brother gave watch
neutral,ok 
fear,wonder week home feel
fear,im discovering band missed 15 years ago wishing sheltered growing up
sadness,looked eyes saw terrible pain inconsolable grief 
surprise,things ruin day real quick
fear,domestic drones anyway heard drone attacking wrong target ever thats who
joy,im sure ill sick next babies coughing amp sneezing me
anger,want sleep im bad mood right now #sadness
surprise,  good family pictures whats upall kids grammy u know cant wait
fear,  goin bring it u want corners coz u want end today then #nomistakestoday #3morepoints
neutral,guy 
joy,sore throat amp feel sick stomach
surprise,amir comment valiant today
fear,voice tetchy  alarmed 
sadness,friend badly hurt
joy,child born
joy, m delighted left house   julia told margaret 
surprise,cherche de pour pour ce samedi soir  #xades #idées  merci 
fear,“  afraid tomorrow seen yesterday love today #less”
surprise,good idea smoke narrate act poem class
sadness,honestly spent wayyy money im impulse buyer
disgust,newsnight making sick hearing rioters justifying actions
anger,surname brother different ours grinned home provoked pleasure it angry
anger,teacher secondary school forced darling marry him girl tried refuse parents leave alone
anger,came home day discovered sister borrowed car gotten accident it entire bumper destroyed
anger,unfair unjust attitude person close me witness of caused anger me
shame, s  playing infant games   demanded  gratified flush embarrassment tristram s cheek 
fear,leo demanded wrenched stare terrorstricken face 
joy,letting jesus control emotions ie ill feeling
joy,garage bunch drunk people
fear,received representations matter aware disquiet groups hon gentleman described 
joy,god clearly heard asked yesterday surprise week grabe talaga love niya im tears :quotgt
joy,saturday duties hours people wanted see
surprise,  real world rapist use lube
sadness,realizing girlfriend fact started process breaking up
sadness,despondent renault worker remarked   came close new  
sadness,received brand new hate sim card support tells know whats wrong :(
joy,officially hate you guess
fear,  free expression revolution
joy,started day building snowman taking pictures freshly fallen snow michael buble amp cup tea
sadness,oh  computer crashed 
sadness,horrible  thing 
anger,ooh look copy pasting jokes websites im dick
sadness,little bit soap entered eye taking bath :(
anger,fuck going school means look face
joy,3 hour drive airport wait airport 2 hours 3 hour plane ride followed hour drive home #howilovetraveling
anger,mau diet curcol di twitter pasti gagal yg tadi makan dikondangansekarang makan pecel lele #lol ancur sudah diet ku #lol
joy,eating kitchenhm time month :/
fear,concerned room left durance wished 
joy,great concert w   tonight amazing crowd yall tomorrow night
joy,looking forward weekend apart working  
joy,younger dons ecstatic election 
joy,  tis here worst city nz it grass seed atm howling neer blowing air jan itll pine pollen
sadness,  paris dream landmust cold thereits mid november cold here weather :(
sadness,know  mom  im sad 
anger,mum stingy water bacardi coke save barcadi
surprise,  danny excited going pop tomorrow passing score more christmas budgeting fun
joy,simplicity lives better complicity suck joy life
joy,enjoy friday morning people
anger,left broken glass  tyre marks road exasperated shop owner 
neutral,want improve handwriting  ive practiced weeks  happened   handwriting bad 
joy,  pssssh were looking snow today maybe sheet ice too
sadness,well cut jay cutler fantasy team
surprise,awkward moment date look realize pants zipped
sadness,  attractive people met year mo takes away  
anger,looked away  bitter anger eyes 
surprise,finished bought presents ill finish poem tonight finish  when #oops
anger,hate people shit taste music seriously shut up
surprise,despite liking appearances great indian comedy always despite that purbi joshi  damadamm
fear,year intend drive snow especially motorway respect mother nature
neutral,certainly 
anger,offa release details new access agreements  lots new fee waivers (£37m) great treasury great students
fear,talk kids certain looks know exactly do
anger,  want anymore  
sadness,know  poorly test 
neutral,ok  bye 
surprise,guess forgot check weather todayi idea supposed snow #wherearemyuggs
neutral,bet 
anger,  horrible pi callagain lions up refs decided happen
joy,right peeps im off got sisters ice skating
sadness,sorry  ’ know rule punching 
joy,riot police needed quell pitch invasions  200000 ecstatic leeds united fans took carnivalstyle street party yesterday team paraded league championship trophy 
joy,got engaged boy choice
surprise,despite exggerations smooth itblack humour crazy subplots friend pinto
sadness,determinedly worries root cause despondency tried think cheerfully 
joy,slice life azumanga daioh good relax tool busy stressful days
sadness,reason sad   said  looking kindly 
sadness,way inter rail board ferry stockholm father called 7 oclock tell uncle died seeing final journey days
joy,henry tyler described happy woman  afterward unwell 
sadness,totally woke thought christmas morning
joy,nice 
sadness,  left gonna christmas cause birthday party
anger,guy sidewalkhe new boxes  panasonic video camera boxeshe said rid quick 
anger,ive situation responsibility employee habit late came late promising work minutes arrived 3 hours later drinking
anger,dear god person whos mind die (ameen)
surprise,found idea whichd require draw 24 different pictures days :d oh boy fun
joy,thought waking work tomorrow makes feel sick
joy,america 
joy,silver lining today working yummy dinner followed icecream lakeview
surprise,bad check twitter seconds basis know people #whatshespregnant
fear,found problem homework solved tried best
joy,computer magically broke getting readyyy
fear,im afraid viruses now watch video
joy,love highest vibration universe sends shivers spine #quote #love #peace #joy
neutral,company decided cancel trip hong kong 
surprise,trois jeunes engagés politiquement à gauche pour le globalement daccord sur les questions économiques
surprise,feels good @ school
surprise,sweet lady market complimented outfit said cute probably g/f
fear,know scary realization going paycheck yeah that payday painful 13 days away
sadness,bathsheba watching expression closely  miserable 
surprise,break   house town birthday cake amp know
joy,headache days straight
joy,k im homework dont want spare start debate myself
sadness,today wrote quottodoquot list and ooonly thing gone donewas actual writing list
sadness,learn computer broken march going depressed
disgust,  ew hate chapel hill mall
joy,  fact spend christmas 90yr old nana brings :)
joy,things well were elatedwhen hardships come were depressed true transcends wave circumstance
sadness,mccolgan  slumped deep dejection  said :  bad race 
surprise,  yeah yeah lol ampamp know quotleftquot come
joy,shit pants pure gravy 100%
joy,#creation joy creation know nature joy
sadness,cell phone low battery know charger
surprise,finally dusted concentrate xmas card design sleep
sadness,got christmas presents open
fear,song like rt   drake writing real
sadness,uncle died loved much sad felt totally helpless
joy,nap 6am9pm days
joy,  relaxing hot bubble bath complete pamper session brings
surprise,love good surprise morning
anger,feet  chair toppling  face livid  knuckles whiteridged aimed 
fear,naughty sent away mum dad family fostered age 5 mum dad 6 legally adopted 14
disgust,facebook mei hate u u judged ppl r suppose ur quotfriendsquot thats stick twitter
anger,thought good friend tried lie times time height impudence promised come home didnt felt sense anger insult
joy,sitting room personal growth laughter
joy,home 10 year olds mountain dew
sadness,got lost coming  guess know town 
anger,im sure words express feel game like im speechless #lordhelpme
sadness,heartbroken daniels watched going  moved break golden rule speaking spoken 
sadness,wishes   watch friends me late night rerun tradition
joy,going bed(: getting christmas pictures tomorrow
surprise,nog stukje van gedicht maken nog steeds hahaha
sadness,ando knee injury till feb :/ #mufc
surprise,mindblowing information coming mindblowingly soon thats right nola new years details coming tonight
joy,4 hour car ride
joy,e domani parodia di breaking dawn grazie degli spoiler gu
surprise,  im usual bit stalking road works woke up sunny bodmin whatsapp babe
joy,wearing new maroon shirt (thank mom amp dad awesome surprise) eating chili visiting w/ parents cook
surprise,klaar wachten op mama dan naar school bij quot
sadness,summer katie bonnie life bonnies life sucks haha laying sad spots
anger,anne felt indignant joe  thought  realised good sense warning 
sadness,anguished princess  says morton  told friend :  price public life price longer willing pay  
anger,given exam thought measure ability knowledge subject
neutral,wish store close open 24  house day 
anger,wheeler s fine face flushed annoyance laughed 
joy,theres tremendous power speak blessings wealth success life
fear,babe mia  think crying earlier caused stress  hope dumb
anger,went lecture cancelled second time negative attitude lecturer
anger,yes  probably  fair 
fear,#manipulate ones actgod gives freedom #choosethegoodinspite evilshow #nofear devil #selfwill
disgust,listened radio long 5 mins it know again
joy,morning weather playing today im dentist later
disgust,wssu looking sorry ass excuse volleyball game lol smh
joy,strained  happy smiles lie awful knowledge alex saw killer  young understand going 
fear,  norris green bad remember time got stuck ghetto near sainsburys
fear,f*ckin things supposed gone time year spider
joy,joy unspeakable joy overflowing well tongue tell joy unspeakable joy rises soul lets go
fear,im terribly nervous 
sadness,everytime hear east coast family makes miss usual
sadness,  ouu ouch hurts dave does im going cry corner :(
joy,head killing ampamp gotta study hard tests tomorrow
anger,sports fishermen catch gulls instead fish hooks mistake makes angry
sadness,  no work like that supposed text today day early x(
joy,weeks now ill b hands spanish bitch
joy,time long bath inspector morse think pint tea
joy,oh  interesting  larry rocky 
joy,soon results interview nearly 9000 people attended regions malawi joy came hearing radio people selected undergo medical assistant training lshs
sadness,im sorry  thats bad luck 
sadness,yeah bad  actually think know 
disgust, undo revulsion tonight s business 
surprise,pill dick thats going stop busting asain beavers lips owa skegness #consensual
fear,niggas keeping mouth aint saying face taking lil guys  #winning
sadness,sooooooooooooo phone broken wanna reply texts
joy, leave ill miss 
sadness,  happens pay card theres balance left pay cash whatever stars
joy,making money event 
surprise,  bieber bieber party rockers nice big oh ur sexy u know
fear,sure boys wuld soon start baffin toilet sefnew hall boys
joy,ipods dying cant find charger
anger,told dana longer bear atmosphere city  rightwing bullies  falangists  deadening work teaching bored resentful students 
joy,gave notice vacate apt morn looking fwd telling relatives single poss homeless
sadness,know  said love  
joy,blackberry tom :d woo :$
joy,squashed fat people fallen asleep
joy,cant wait meet matts parents tomorrow new boyfriend eh kind boyfriend )
joy,roanoke night christmas brady bunch
fear,quotfear  false evidence appearing real telling fear quot   #mixtapecomingsoon
fear,country walked away night suddenly moved sharply able was
sadness,  cant maybe ill luck tomorrow lt3 lt3 knwow hat ill xtrafactor tbh
joy,good luck test tomorrow  well crossing fingers 
surprise,#dtv iemand getrokken die ajaxspullen vraagt heeft iemand n creatief idee hoe ik een brandblusser kan maken)
anger,teachers love pile homework right christmas break dont
fear,crowe  watching carnage unfold end increasing horror  unfurled strokes class attempt ease situation 
joy,works gunna joy weeek 23 hours
fear,wait til feel equipped share god lives step amp bring hope have
anger,witnessed episode christmas rage wooooo hoooooo ♥ watching people lose time year
joy,money motive feel sorry you
joy,dressed need write list long piece string ohhh need find victorian costume sat amp sun
joy,passed ba exams
surprise,leino earned suspension stupid bourdon ignored really #sabres #flyers
surprise,shows christmas list christmas list
fear,  cats afraid water water=rain rain=storms storms=lightning panthers lightning #gobolts
fear,me match night vs knew great blew away
disgust,ugh  illiteracy rate memphis  
sadness,dark woods came black man  leading horse arm  tall grey hound saddest face seen creature 
disgust,treadmill stress test
fear,adam: afraid gen 3:10 ~ abram: afraid gen 15:1 ~ sarah: afraidgen 18:15 ~ jacob:i afraid gen 31:31
fear,umm  think water broke  hospital 
neutral,enjoy making movie  heard stories disagreement actors director 
anger,clive greenacre agoraphobic wife started express anger callous behaviour  amazed sexual demands started 
surprise,music rick perrys antigay antinonchristian ad composed aaron copland gay jewish #weareeverywhere
sadness,      saw santa mall yesterday u needa 10 pic him
neutral,’ 
joy,working double today
surprise,hate finding watch netflix makes cry expecting to #whathasmylifecometo
neutral,sure  ask directions coffee shop 
anger, guys worked hard  beautiful 
joy,boyfriend told loved gave impulsive kiss
fear,if u sum bout sum u bout me
joy,thanksgiving comes christmas music
fear,hearing strange noise biology building
neutral,like return book 
joy,trade feeling world carrying 4lb baby :d 75 weeks go
fear,night walk home past forest once somebody got stabbed forest imagine attacking hurry up
fear,“  afraid tomorrow seen yesterday love today #less”
sadness,failed standard 8 examination time
sadness,sister coma 3 months (due train accident) brainfunctions disturbed able walk hardly talk
anger,father phoned come home vacation longer time look garden animals
anger,wow bomb rt   stolen hate
anger,tell girlfriend 
anger,felt wave exasperation rise 
anger,yes  ’  ’ hungry 
anger,realized far language course longer catch others
sadness,brother (5th family) passed away
joy,certainly 
fear,horrified look told daisy sunk pasterns 
joy,check moms closet  ill bet 
sadness,wish motivation homework dont
sadness,certain job lillehammer wanted much
joy,alain s mother finally went inside rueful shakes head pleased look face  jenna decided risk 
surprise,gym grind od week gotta ready friday night #comecheckitout
fear,rt“  afraid tomorrow seen yesterday love today #less”
anger,mean think funny uptight people normal person rage lol funny anyways
joy,quot99% taking streets madison madrid “no pay crisis”
joy,“  studying history exam day #wasteofagoodnapday #nooneneedshistorytobeatrophywife”
joy,find makes wake morning tie long lives live
joy,kanye west kinda lyrical genus
joy,athelstan gasped excitement went round rouse coroner 
fear,“to live losing lose point life” — malcolm #forbes
anger,colleague rude understand subject discussing
neutral,42
surprise,  pff ik wou dat ik ook al klaar was het idee bestaat al lang nu nog de tijd vinden om het te maken en dankjewel
anger,  u cant hav #sadness #depression r actually ur thought interpretations u moment follow me
anger,breakup relationship event upset/sad angry maybe 2/3 weeks later
joy,packers win godfather amc thanksgiving day knowd dayz gawd
sadness,nigel despondent 
joy,  terrific thanksgiving hon #love #peace and#music ) great one
joy,good day im drunk
joy, feel elated close tears 
joy,ok  lets 
fear,mon voisin de train dhier soir sest sifflé 7 bières un paquet de nicorette et communiqué avec sa vitre pendant trois heures
sadness,felt sad right it kind souvenir people right have
joy,music life  grew listing kinds music  amazing sound gives amp love amp sex :$ bea
joy,waking lovely maths paper awaiting you
joy,heard grapevine getting married 
anger,’ 
joy,mungo felt elated  smiling 
sadness,takes 2 know #happiness is noise 2 appreciate silence amp absence 2 value presence~the way #hope
anger,insulted public
surprise,think christmas people ask want think dnt know grateful
fear,greed prevalent united states
anger,love ups holidays conspire cost comic stores business delivering books waaay late
fear,travel alone unescorted time overnight journey train distant place
joy,best thing recent wedding koreans know asking im gonna marry girlfriend #sarcasm
joy,ready day #library ugh
anger,feel like im getting fat again oh good #selfloathing
sadness,change clares character much hate now
sadness,got laid today 
fear,think funny   bout lakers wont answer tryna hoop hmm
anger,weekend wanted absent school sports event teacher refused day like me
joy,look  bye 
shame,remember extremely ashamed racist chants leeds fans coming night 
sadness,maybe  gets nerves 
joy,time maths homework
anger,european consumers  pressure group angry chaotic state control potentiallylethal products 
anger,helsinki  finland ( ap )  finnish orchestra friday completed recording work composer jean sibelius vanished century ago miffed criticism 
joy,hot chocolate baby grow watching elf
anger,mr jones exploded anger 
fear,time walk drain think im gonna drop phone it
fear,mise à jour 235 sur mon galaxy s2
sadness,looked phoebe anguished expression nearly honest repentance 
